report_id,timestamp,unit_id,reporter_role,location,age_band,channel,free_text,category_label,urgency_label,status
35,2025-12-22 22:06:02,NW-ACF-037,Adult Volunteer,Home,Under 12,Online form,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Other,Medium,Open
145,2025-12-28 16:49:02,NW-ACF-005,Other,Annual Camp,12-14,Other,Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Bullying,High,Closed
108,2025-12-05 08:38:02,NW-ACF-021,Cadet,Field Exercise,15-17,In person,"Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Home issues,Low,Open
103,2025-12-27 04:32:02,NW-ACF-001,Other,Home,15-17,Other,"Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Bullying,Medium,Open
36,2025-12-20 06:43:02,NW-ACF-045,Adult Volunteer,Parade Night - Detachment,18+,Online form,"Cadet has displayed changes in behaviour, including occasional outbursts and conflict with peers or staff. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Behaviour / conduct,High,Open
44,2025-12-12 02:13:02,NW-ACF-046,Adult Volunteer,Parade Night - Detachment,18+,Other,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Financial hardship,Medium,Closed
14,2026-01-25 07:33:02,NW-ACF-037,Adult Volunteer,Parade Night - Detachment,15-17,Other,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Financial hardship,Critical,In progress
59,2026-02-13 11:07:02,NW-ACF-005,Adult Volunteer,Training Weekend,12-14,Phone call,Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Bullying,Critical,Closed
55,2025-12-29 21:35:02,NW-ACF-023,Adult Volunteer,Field Exercise,Under 12,Phone call,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Financial hardship,Low,Closed
85,2025-12-22 22:41:02,NW-ACF-032,Other,Annual Camp,Under 12,Email,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Financial hardship,Critical,Open
79,2026-02-13 11:16:02,NW-ACF-041,Parent/Carer,Field Exercise,Under 12,Online form,"Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Mental health,Low,Open
115,2026-01-09 01:07:02,NW-ACF-015,Cadet,Annual Camp,Under 12,In person,Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Mental health,Critical,In progress
30,2025-12-09 18:21:02,NW-ACF-012,Adult Volunteer,Annual Camp,15-17,In person,Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Bullying,Critical,Open
105,2026-02-15 19:18:02,NW-ACF-034,Cadet,Annual Camp,Under 12,Online form,Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Bullying,High,In progress
76,2026-01-30 08:57:02,NW-ACF-037,Adult Volunteer,Home,Under 12,Other,"Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Physical safety,Low,Closed
69,2025-11-30 10:48:02,NW-ACF-035,Parent/Carer,Training Weekend,12-14,Online form,Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Bullying,High,In progress
128,2026-02-13 09:00:02,NW-ACF-029,Adult Volunteer,Home,12-14,Online form,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Financial hardship,Low,Closed
42,2026-02-08 22:09:02,NW-ACF-047,Other,Annual Camp,12-14,Online form,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Financial hardship,Critical,In progress
75,2026-01-18 11:22:02,NW-ACF-030,Cadet,Field Exercise,15-17,Email,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Physical safety,Critical,Open
92,2025-11-30 06:11:02,NW-ACF-028,Adult Volunteer,Annual Camp,12-14,Phone call,"Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Bullying,Low,Open
17,2026-02-08 07:46:02,NW-ACF-030,Cadet,Field Exercise,18+,Phone call,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Physical safety,High,Open
168,2025-12-15 16:51:02,NW-ACF-050,Cadet,Field Exercise,15-17,Online form,"Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Home issues,Medium,Closed
147,2026-01-11 05:06:02,NW-ACF-045,Parent/Carer,Training Weekend,18+,Phone call,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Other,Critical,In progress
153,2025-12-02 22:19:02,NW-ACF-043,Adult Volunteer,Parade Night - Detachment,15-17,Phone call,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Other,Critical,Closed
146,2025-11-28 08:51:02,NW-ACF-010,Adult Volunteer,Home,15-17,Online form,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Other,Low,In progress
22,2025-12-13 23:11:02,NW-ACF-044,Other,Annual Camp,18+,Email,"Cadet has displayed changes in behaviour, including occasional outbursts and conflict with peers or staff. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Behaviour / conduct,Medium,In progress
53,2025-12-14 02:19:02,NW-ACF-028,Adult Volunteer,Parade Night - Detachment,15-17,Phone call,"Cadet has displayed changes in behaviour, including occasional outbursts and conflict with peers or staff. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Behaviour / conduct,High,Closed
88,2026-01-19 11:43:02,NW-ACF-028,Parent/Carer,Parade Night - Detachment,12-14,Phone call,"Cadet disclosed receiving unpleasant messages online and being added to group chats where inappropriate content is being shared. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Online safety,Low,In progress
15,2026-01-24 17:12:02,NW-ACF-001,Cadet,Field Exercise,18+,Phone call,"Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Bullying,Low,Open
189,2026-01-02 11:51:02,NW-ACF-035,Adult Volunteer,Parade Night - Detachment,18+,Email,Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Mental health,Critical,In progress
126,2025-11-29 11:09:02,NW-ACF-029,Cadet,Home,Under 12,Online form,"Cadet disclosed receiving unpleasant messages online and being added to group chats where inappropriate content is being shared. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Online safety,Low,Closed
178,2026-01-10 06:47:02,NW-ACF-042,Adult Volunteer,Field Exercise,18+,Other,Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Mental health,High,In progress
49,2025-12-25 06:40:02,NW-ACF-023,Adult Volunteer,Field Exercise,15-17,Other,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Attendance / engagement,Low,Open
73,2026-01-02 02:38:02,NW-ACF-040,Parent/Carer,Training Weekend,15-17,Phone call,"Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Bullying,Low,Open
89,2025-12-16 02:33:02,NW-ACF-025,Adult Volunteer,Field Exercise,12-14,Phone call,"Cadet disclosed receiving unpleasant messages online and being added to group chats where inappropriate content is being shared. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Online safety,Low,In progress
150,2026-02-09 19:37:02,NW-ACF-014,Adult Volunteer,Home,15-17,In person,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Financial hardship,Low,Closed
110,2025-12-16 21:20:02,NW-ACF-001,Cadet,Training Weekend,12-14,Other,Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Mental health,High,Closed
57,2026-01-24 08:58:02,NW-ACF-002,Other,Home,18+,Phone call,Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Bullying,Critical,In progress
4,2026-01-28 18:54:02,NW-ACF-032,Adult Volunteer,Parade Night - Detachment,18+,Email,Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Home issues,Critical,Closed
143,2026-01-06 09:35:02,NW-ACF-024,Other,Field Exercise,15-17,Phone call,"Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Home issues,Low,In progress
70,2025-11-28 07:16:02,NW-ACF-035,Adult Volunteer,Parade Night - Detachment,12-14,Email,Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Mental health,High,Closed
46,2026-01-17 10:26:02,NW-ACF-007,Other,Field Exercise,12-14,Other,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Physical safety,High,Closed
170,2025-11-18 23:44:02,NW-ACF-006,Adult Volunteer,Training Weekend,15-17,In person,"Cadet has displayed changes in behaviour, including occasional outbursts and conflict with peers or staff. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Behaviour / conduct,Medium,In progress
180,2025-11-28 12:31:02,NW-ACF-045,Other,Field Exercise,15-17,Email,"Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Bullying,Medium,Open
127,2025-11-26 17:47:02,NW-ACF-021,Other,Home,15-17,In person,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Attendance / engagement,Medium,Closed
58,2025-12-16 11:32:02,NW-ACF-031,Adult Volunteer,Home,18+,In person,Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Mental health,High,Open
184,2026-01-24 07:51:02,NW-ACF-034,Parent/Carer,Parade Night - Detachment,12-14,Online form,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Physical safety,High,In progress
158,2025-11-20 04:37:02,NW-ACF-006,Parent/Carer,Parade Night - Detachment,Under 12,Online form,"Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Physical safety,Medium,Closed
192,2026-01-27 23:49:02,NW-ACF-050,Parent/Carer,Home,Under 12,In person,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Other,Critical,Open
54,2025-12-23 00:45:02,NW-ACF-034,Cadet,Parade Night - Detachment,Under 12,In person,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Attendance / engagement,Medium,Open
154,2026-01-07 02:55:02,NW-ACF-034,Adult Volunteer,Training Weekend,18+,Email,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Other,High,Closed
177,2025-12-09 03:55:02,NW-ACF-036,Parent/Carer,Annual Camp,18+,Phone call,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Other,Medium,Open
174,2025-12-18 03:00:02,NW-ACF-025,Adult Volunteer,Training Weekend,12-14,In person,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Financial hardship,Low,Closed
129,2025-12-25 03:54:02,NW-ACF-030,Other,Field Exercise,12-14,Phone call,"Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Bullying,Low,In progress
200,2026-01-06 20:47:02,NW-ACF-033,Cadet,Parade Night - Detachment,15-17,Phone call,"Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Mental health,Medium,Open
83,2025-12-28 04:56:02,NW-ACF-005,Other,Field Exercise,18+,Email,"Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Physical safety,Medium,Open
160,2026-02-03 08:39:02,NW-ACF-011,Parent/Carer,Home,Under 12,Online form,"Cadet has displayed changes in behaviour, including occasional outbursts and conflict with peers or staff. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Behaviour / conduct,Critical,Closed
28,2026-01-15 19:12:02,NW-ACF-010,Other,Parade Night - Detachment,12-14,Online form,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Financial hardship,Critical,In progress
71,2026-02-09 21:38:02,NW-ACF-023,Adult Volunteer,Parade Night - Detachment,Under 12,Email,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Physical safety,High,In progress
