report_id,reporter_role,setting,age_band,category_label,urgency_label,free_text
797,Cadet,Off-site Activity,12-14,Exploitation / trafficking,Critical,"During a one-to-one conversation, Cadet Thompson disclosed that his older cousin has been making him work in a cannabis farm. He said he's been missing cadets because he has to tend to the plants most evenings and weekends. He showed me photos on his phone of what appeared to be a large-scale growing operation."
798,Civilian Instructor,Online/Remote,16-18,Exploitation / trafficking,Critical,Cadet Martinez broke down crying and told me that adults at her workplace have been forcing her to work excessive hours without proper breaks. She said they took her passport when she started and won't give it back. She mentioned being shouted at and threatened when she asked about going home to see her family.
799,Parent/Carer,Weekend Exercise,14-16,Exploitation / trafficking,Critical,Cadet Johnson confided that he's been staying in different houses with men he doesn't know well. He said someone called 'Danny' picks him up after school and takes him to these places where he has to 'be nice' to the men there. He had unexplained cash and seemed very anxious when discussing his living arrangements.
800,Commanding Officer,Online/Remote,14-16,Exploitation / trafficking,Critical,Cadet Peters disclosed that she's been forced to beg on the streets by adults who claim to be looking after her. She said they drop her off in the city centre each morning and collect her earnings at night. She appeared malnourished and mentioned not being allowed to keep any of the money she collects.
801,Commanding Officer,Weekend Exercise,14-16,Radicalisation / extremism,Low,Cadet Smith made a comment during evening meal about 'foreigners taking our jobs' when discussing current events with his section. He seemed to be repeating something he'd heard rather than expressing a strong personal view. The other cadets didn't really engage with the comment.
802,Parent/Carer,Off-site Activity,14-16,Radicalisation / extremism,Low,"During a history lesson about WWII, Cadet Jones asked several questions about Nazi ideology that seemed oddly focused on their 'effectiveness' rather than the moral issues. Her questions were more curious than concerning but stood out from the usual discussion."
803,Cadet,Off-site Activity,12-14,Radicalisation / extremism,Low,Overheard Cadet Williams telling his mate about some YouTube videos he'd been watching about 'what's really happening in the country'. He mentioned a particular channel name but I didn't catch it clearly. Seemed like typical teenage conspiracy theory interest.
804,Commanding Officer,Online/Remote,12-14,Radicalisation / extremism,Low,Cadet Brown brought up some political views during break time that sounded quite mature for his age - talking about immigration policy and national identity. The language seemed like it might have come from adult conversations or online content rather than his own thinking.
805,CFAV,Off-site Activity,14-16,Radicalisation / extremism,Low,Found Cadet Taylor looking at what appeared to be political content on his phone during admin time. Couldn't see exactly what it was but noticed some flag imagery and text about 'British values'. He quickly switched to something else when he saw me approaching.
806,Parent/Carer,Parade Night,16-18,Radicalisation / extremism,Low,"Cadet Williams made a comment during break about how 'certain groups' are taking over the country and mentioned watching videos online that 'tell the truth'. When asked what videos, he said he'd found some interesting channels but didn't elaborate further."
807,Civilian Instructor,Weekend Exercise,Under 12,Radicalisation / extremism,Low,"During a discussion about current events, Cadet Thompson expressed some strong views about immigration and said she'd been reading articles that show what's 'really happening'. She seemed quite passionate about it but wasn't aggressive or confrontational."
808,CFAV,Parade Night,16-18,Radicalisation / extremism,Low,Cadet Harris mentioned he'd joined some online groups where people discuss 'real politics' and said mainstream news doesn't tell you everything. He briefly showed another cadet something on his phone but I couldn't see what it was.
809,Parent/Carer,Online/Remote,14-16,Radicalisation / extremism,Low,"I overheard Cadet Jones talking about a documentary he'd watched that 'opened his eyes' about certain political issues. He was trying to convince another cadet to watch it, saying it would change how they see things."
810,CFAV,Online/Remote,14-16,Radicalisation / extremism,Low,Cadet Mitchell has been making occasional comments about how the government is lying to people and mentioned following some social media accounts that share 'alternative facts'. The comments seem to be increasing over the past few weeks.
811,Commanding Officer,Online/Remote,14-16,Radicalisation / extremism,Low,"During a break between activities, I overheard Cadet Johnson making a comment about how 'certain groups' shouldn't be allowed in the country. When another cadet challenged this, Johnson just shrugged and said his older brother had told him that."
812,Cadet,Off-site Activity,16-18,Radicalisation / extremism,Low,Cadet Williams shared a meme on the squadron WhatsApp group showing a political cartoon with some questionable messaging about immigration. Several cadets reacted with laughing emojis before an adult instructor removed the message.
813,Commanding Officer,Annual Camp,14-16,Radicalisation / extremism,Low,"While discussing current events during citizenship training, Cadet Thompson made several comments suggesting that violence might be justified to 'protect British values'. The other cadets looked uncomfortable and the conversation moved on quickly."
814,Cadet,Off-site Activity,12-14,Radicalisation / extremism,Low,I noticed Cadet Davies has started using some unusual language when talking about people from different backgrounds. Yesterday he referred to a news story about refugees using terms that seemed quite hostile compared to how he normally speaks.
815,Parent/Carer,Online/Remote,14-16,Radicalisation / extremism,Low,Cadet Martinez mentioned that he'd been watching videos online about historical conflicts and seemed quite animated about some extreme political viewpoints he'd encountered. He asked if we could discuss these topics more during our next history session.
816,Civilian Instructor,Annual Camp,14-16,Radicalisation / extremism,Low,"During tonight's drill session, Cadet Williams mentioned that his older brother had been showing him 'interesting videos about what's really happening in the world' and said mainstream news can't be trusted. He seemed quite animated when talking about it but didn't go into specifics."
817,Parent/Carer,Weekend Exercise,12-14,Radicalisation / extremism,Low,"Cadet Thompson has been making occasional comments about certain political groups being 'the real problem' during break times. Other cadets have mentioned he's been sharing articles on social media that seem a bit extreme, though I haven't seen them myself."
818,Parent/Carer,Online/Remote,12-14,Radicalisation / extremism,Low,Noticed Cadet Davies has started using some unusual terminology when discussing current events - phrases like 'wake up' and 'they don't want you to know the truth'. She mentioned getting most of her news from alternative sources online now.
819,Civilian Instructor,Online/Remote,12-14,Radicalisation / extremism,Low,Cadet Mitchell told me his uncle has been explaining 'what's actually going on behind the scenes' and that most people are being misled. He seemed quite convinced about some conspiracy theories but spoke about them quite casually.
820,CFAV,Parade Night,16-18,Radicalisation / extremism,Low,"During a discussion about citizenship, Cadet Roberts made several comments suggesting certain communities were responsible for society's problems. When challenged by peers, he said he'd been reading about it and 'doing his own research' online."
821,Parent/Carer,Weekend Exercise,16-18,Radicalisation / extremism,Low,"Cadet Johnson made a comment during history lesson about 'certain groups' deserving what happened to them in conflicts. When asked to explain, he said he'd been watching videos online that 'opened his eyes'. Other cadets looked uncomfortable."
822,Civilian Instructor,Weekend Exercise,Under 12,Radicalisation / extremism,Low,Overheard Cadet Williams telling friends that democracy doesn't work and people need stronger leadership. She mentioned following some political accounts on social media that share 'the real truth'. Seemed quite passionate about these views.
823,Cadet,Annual Camp,14-16,Radicalisation / extremism,Low,Cadet Thompson has started using language like 'us versus them' when talking about different communities in our town. Said his older brother has been showing him articles about how 'they' are changing everything.
824,Cadet,Annual Camp,Under 12,Radicalisation / extremism,Low,"During break, Cadet Davies was showing other cadets symbols he'd drawn in his notebook margins. When I looked closer, they appeared to be political emblems I didn't recognise. He quickly closed the book when he saw me approaching."
825,Parent/Carer,Online/Remote,Under 12,Radicalisation / extremism,Low,Cadet Roberts mentioned that his online gaming friends have been sharing 'interesting content' about what's really happening in the world. Said they meet up regularly in voice chat to discuss current events and share links.
826,Cadet,Annual Camp,Under 12,Radicalisation / extremism,Medium,"During tonight's drill session, Cadet Williams made several comments about how 'certain groups' are ruining Britain and mentioned watching videos online that 'show the real truth about immigration'. When other cadets disagreed, he became quite argumentative and said they were 'brainwashed by mainstream media'."
827,Parent/Carer,Online/Remote,12-14,Radicalisation / extremism,Medium,Cadet Thompson has been sharing conspiracy theory posts on social media about the government and minorities over the past few weeks. Today she told me that her older brother has been showing her websites that explain 'what's really happening in this country' and that most people are 'too scared to speak the truth'.
828,Civilian Instructor,Weekend Exercise,Under 12,Radicalisation / extremism,Medium,I noticed Cadet Baker has started using some concerning language when talking about certain ethnic groups during break time. He mentioned joining an online forum where people discuss 'protecting British values' and said he's learned a lot about 'the problems with multiculturalism' from people there.
829,Parent/Carer,Online/Remote,16-18,Radicalisation / extremism,Medium,Cadet Harris disclosed that he's been attending meetings with a group that his uncle introduced him to. He described them as 'real patriots who understand what needs to be done' and mentioned they've been teaching him about 'the threat to traditional British culture' from various minority communities.
830,Cadet,Annual Camp,16-18,Radicalisation / extremism,Medium,"During a conversation about current events, Cadet Mitchell expressed strong anti-immigrant views and mentioned following several far-right social media accounts. She said these accounts have helped her understand 'the real agenda' and that she's considering attending a protest march next weekend with some online friends."
831,CFAV,Off-site Activity,12-14,Radicalisation / extremism,Medium,Cadet Smith has been making comments during parade nights about how 'certain groups' are ruining Britain and that 'something needs to be done about it'. Other cadets have mentioned he's been sharing videos on social media about immigration being an invasion. He seems to be getting these ideas from online forums he's started following.
832,Cadet,Online/Remote,12-14,Radicalisation / extremism,Medium,"During a discussion about current events, Cadet Jones expressed strong views that democracy doesn't work and that authoritarian governments get things done properly. She mentioned reading material that explains how violent revolution might be necessary for change. Her language has become more extreme over the past month."
833,Civilian Instructor,Off-site Activity,14-16,Radicalisation / extremism,Medium,Cadet Brown has been isolated from his usual friend group and spending time with older teenagers from outside cadets who pick him up after meetings. He's started using concerning language about religious groups and has mentioned attending meetings where they discuss 'the truth about what's really happening'. His previous moderate views seem to have shifted significantly.
834,Commanding Officer,Annual Camp,16-18,Radicalisation / extremism,Medium,Overheard Cadet Williams telling another cadet that certain terrorist attacks were justified because the government ignores peaceful protest. He's been researching historical extremist movements and sharing conspiracy theories about government cover-ups. His parents called to say they're worried about content he's accessing online.
835,CFAV,Off-site Activity,14-16,Radicalisation / extremism,Medium,Cadet Taylor has begun expressing admiration for historical extremist figures during history discussions and dismissing the Holocaust as exaggerated. She's been trying to recruit other cadets to join online groups that promote far-right ideologies. Her behaviour towards cadets from minority backgrounds has become noticeably hostile.
836,CFAV,Weekend Exercise,Under 12,Radicalisation / extremism,Medium,"During tonight's drill session, Cadet Johnson made several comments about how 'certain groups' are ruining Britain and that 'something needs to be done about it'. When other cadets disagreed, he became quite animated and said his older brother had shown him some videos that 'opened his eyes' to what's really happening."
837,Commanding Officer,Off-site Activity,Under 12,Radicalisation / extremism,Medium,Cadet Williams has been sharing conspiracy theories on the cadet WhatsApp group about government control and 'fake news'. She's posted links to websites claiming various groups are secretly controlling society. Other cadets have mentioned she talks about these theories frequently during breaks.
838,CFAV,Off-site Activity,12-14,Radicalisation / extremism,Medium,I overheard Cadet Thompson telling another cadet that attending mosque makes people 'brainwashed' and that his dad says Muslims can't be trusted. He seemed to genuinely believe what he was saying and got defensive when challenged by peers.
839,CFAV,Parade Night,12-14,Radicalisation / extremism,Medium,Cadet Martinez disclosed that her cousin has been sending her videos about how western society is corrupt and needs to be 'purified'. She said the videos make sense to her and that maybe her cousin is right about needing to take a stand against modern values.
840,Civilian Instructor,Off-site Activity,16-18,Radicalisation / extremism,Medium,"During a citizenship lesson about British values, Cadet Brown openly stated that democracy is a failed system and that strong authoritarian leadership is what the country needs. He referenced several historical examples and seemed quite convinced in his viewpoint despite class discussion."
841,Parent/Carer,Online/Remote,16-18,Radicalisation / extremism,Medium,Cadet Williams has been making comments during drill about how 'the government doesn't care about real British people' and mentioned joining online groups that discuss 'taking action'. Other cadets have reported he's been sharing videos on social media about political conspiracies and immigration issues.
842,Parent/Carer,Annual Camp,12-14,Radicalisation / extremism,Medium,"During a discussion about current affairs, Cadet Thompson expressed strong views about certain religious groups being 'the enemy within' and claimed they were planning to 'take over Britain'. She mentioned following several political influencers online who share similar content about protecting British values."
843,Civilian Instructor,Off-site Activity,12-14,Radicalisation / extremism,Medium,Cadet Davies has been increasingly vocal about his dislike of multiculturalism during lessons and mentioned attending rallies with his older brother. He's started wearing badges with nationalist symbols and has been trying to engage other cadets in conversations about racial superiority.
844,Civilian Instructor,Parade Night,14-16,Radicalisation / extremism,Medium,I noticed Cadet Parker has been reading materials about political extremism and making concerning comments about using violence to solve social problems. He mentioned being part of online forums where people discuss 'direct action' against minority groups in the local area.
845,Parent/Carer,Annual Camp,12-14,Radicalisation / extremism,Medium,Cadet Roberts disclosed that he's been watching videos online about forming militia groups and has expressed interest in learning combat skills 'for when society breaks down'. He's mentioned connecting with like-minded individuals through gaming platforms who share his political views.
846,Parent/Carer,Weekend Exercise,Under 12,Radicalisation / extremism,Medium,"During drill practice, Cadet Thompson made several comments about how 'certain groups' are ruining Britain and need to be 'dealt with properly'. When other cadets disagreed, he became quite aggressive and said they were 'too weak to see the truth'. He mentioned getting his information from online forums that 'tell the real story'."
847,CFAV,Off-site Activity,16-18,Radicalisation / extremism,Medium,Cadet Williams has been sharing conspiracy theories on the squadron WhatsApp group about minority communities plotting against 'real British people'. She posted several inflammatory memes last week and responded angrily when staff asked her to remove them. Other cadets have mentioned she's been talking about attending political rallies.
848,Cadet,Off-site Activity,14-16,Radicalisation / extremism,Medium,"I noticed Cadet Davies reading material from a far-right political group during break time. When I asked about it, he said his older brother gave it to him and that it 'makes sense' about what's happening in the country. He's started making disparaging comments about refugees during current affairs discussions."
849,Civilian Instructor,Weekend Exercise,Under 12,Radicalisation / extremism,Medium,Cadet Johnson disclosed that his uncle has been showing him videos online about how the government is 'betraying white British people'. He said these videos 'opened his eyes' and he's been sharing similar content with friends at school. He asked if I agreed that 'action needs to be taken' against certain communities.
850,Commanding Officer,Off-site Activity,14-16,Radicalisation / extremism,Medium,"During a discussion about Remembrance Day, Cadet Phillips made several concerning statements glorifying historical fascist movements. He said modern politicians are 'traitors' and suggested violent solutions to current social issues. Other cadets looked uncomfortable when he described certain extremist figures as 'heroes who understood the real problems'."
851,Parent/Carer,Annual Camp,12-14,Radicalisation / extremism,High,Cadet Williams showed me videos on his phone during break that contained extreme right-wing content including footage of violent attacks on minority groups. He said he'd been watching similar content online for months and that these people 'have the right idea about protecting Britain.' He asked if I knew where he could meet others who 'think like this.'
852,Commanding Officer,Annual Camp,16-18,Radicalisation / extremism,High,"During a discussion about current affairs, Cadet Thompson stated that 'all Muslims are terrorists' and that 'someone needs to do something about the invasion.' She then showed other cadets printed materials she'd brought from home containing conspiracy theories about Jewish people controlling the government and media."
853,CFAV,Weekend Exercise,16-18,Radicalisation / extremism,High,Cadet Davies disclosed that his older brother has been taking him to meetings where they discuss 'taking action against traitors in parliament.' He described learning about making weapons and said the group believes violence is necessary to 'save the white race.' He seemed excited about an upcoming event they're planning.
854,Cadet,Parade Night,Under 12,Radicalisation / extremism,High,I overheard Cadet Martinez telling another cadet about joining online groups where they share 'the truth about immigration.' He showed screenshots of messages discussing plans to disrupt a local mosque and mentioned wanting to 'defend his community' by any means necessary.
855,Commanding Officer,Online/Remote,Under 12,Radicalisation / extremism,High,Cadet Robinson brought homemade leaflets to parade night containing violent imagery and text promoting attacks on government buildings. He told me he'd been recruited by an online group that meets locally and that they've been teaching him about 'preparing for war against the establishment.'
856,Commanding Officer,Off-site Activity,16-18,Radicalisation / extremism,High,"Cadet Johnson showed me several videos on his phone during break that contained extremist propaganda about targeting religious minorities. He said he'd been watching this content regularly and agreed with the messages. When I asked where he found them, he mentioned being part of online groups that share this material."
857,Commanding Officer,Weekend Exercise,12-14,Radicalisation / extremism,High,"During a discussion about current events, Cadet Williams made repeated comments praising terrorist attacks and said civilians deserved to be harmed. She expressed detailed knowledge about attack methods and locations. Other cadets appeared uncomfortable and one approached me afterwards to say she'd been making similar comments for weeks."
858,Parent/Carer,Off-site Activity,Under 12,Radicalisation / extremism,High,Cadet Thompson disclosed that his older brother has been showing him materials about joining extremist groups abroad. He said his brother told him it would be 'glorious' and has been pressuring him to attend meetings. The cadet seemed conflicted but admitted he was starting to find the ideas appealing.
859,CFAV,Online/Remote,16-18,Radicalisation / extremism,High,"I noticed Cadet Davies had extremist symbols drawn on his notebook and when questioned, he explained their meaning in detail. He spoke positively about violent ideologies and mentioned he'd been in contact with recruiters online who want to meet him in person next week."
860,Parent/Carer,Annual Camp,12-14,Radicalisation / extremism,High,"Cadet Roberts told me she's been researching how to make explosive devices and has been gathering materials. She said she wanted to 'make a statement' at a local community event next month. When pressed, she confirmed she was serious about causing harm to attendees."
861,Parent/Carer,Weekend Exercise,12-14,Radicalisation / extremism,High,"Cadet Williams showed me several videos on his phone during break time featuring a man speaking about 'purifying our country' and removing certain ethnic groups. When I asked where he got them, he said his older brother had been sending them to him and that they made sense. He asked if I agreed that some people don't belong here."
862,Commanding Officer,Weekend Exercise,16-18,Radicalisation / extremism,High,"During a discussion about current events, Cadet Ahmed made comments about how 'the West deserves what's coming' and that certain recent terrorist attacks were 'justified revenge'. She said her online friends had been educating her about the real truth behind world events. When challenged by other cadets, she became defensive and said they were brainwashed."
863,Civilian Instructor,Off-site Activity,16-18,Radicalisation / extremism,High,Cadet Thompson has been drawing symbols in his notebook that look like modified swastikas and writing phrases like 'blood and soil' during lessons. He told another cadet that he'd joined an online group that was teaching him about his heritage and that white people needed to take back control. He seemed proud when showing these drawings.
864,Parent/Carer,Off-site Activity,Under 12,Radicalisation / extremism,High,Cadet Patel disclosed that she's been attending online meetings with a group that discuss Islamic teachings. She mentioned they've been telling her that participating in military activities like cadets is haram and that she should distance herself from non-believers. She said the group leader has been asking her to recruit other Muslim cadets and has requested photos of our training facilities.
865,Cadet,Annual Camp,Under 12,Radicalisation / extremism,High,Cadet Jones brought in printed material about a political movement during parade night and was sharing it with younger cadets. The leaflets contained inflammatory language about immigrants and called for direct action against minority communities. He said he'd been attending meetings with adults who understood the real problems facing Britain and wanted to do something about it.
866,Parent/Carer,Annual Camp,12-14,Radicalisation / extremism,High,"During a break, Cadet Thompson showed several other cadets videos on his phone of beheadings and executions, saying they were 'brilliant' and that 'the west deserves this'. He said his new online friends had shown him the 'real truth' about jihad. Other cadets looked visibly disturbed and came to report this immediately."
867,Parent/Carer,Off-site Activity,14-16,Radicalisation / extremism,High,"Cadet Williams has been making increasingly concerning comments over the past month about immigrants 'poisoning our country' and praising far-right terrorist attacks. Today she brought in printed materials with swastika symbols and began distributing them to younger cadets, saying they needed to 'wake up to the white genocide'."
868,Commanding Officer,Parade Night,Under 12,Radicalisation / extremism,High,"During fieldcraft training, Cadet Davies repeatedly made comments about wanting to use his military training 'for real against the enemies of Islam'. He showed other cadets screenshots of conversations where someone called 'Brother Mohammed' was instructing him on making improvised explosive devices using household items."
869,Cadet,Off-site Activity,14-16,Radicalisation / extremism,High,Cadet Foster disclosed that he has been attending online meetings with a group that wants to 'cleanse Britain of multiculturalism through violence'. He said they had been grooming him to carry out an attack at his school and had provided him with detailed plans and target locations.
870,Civilian Instructor,Weekend Exercise,16-18,Radicalisation / extremism,High,Staff overheard Cadet Mitchell telling peers that the Holocaust was fake and that Jewish people control the government and media. She had been sharing antisemitic conspiracy theories and said her online mentor had tasked her with recruiting other young people to their 'resistance movement' against Jewish influence.
871,Parent/Carer,Online/Remote,Under 12,Radicalisation / extremism,High,Cadet Smith approached me after parade and said he'd been watching videos online that made him think 'Muslims are taking over Britain' and that 'something needs to be done about it'. He mentioned joining an online group that shares these views and said they've been encouraging him to attend local meetings.
872,Cadet,Annual Camp,16-18,Radicalisation / extremism,High,"During break, I overheard Cadet Jones telling another cadet that Jewish people control the government and banks, and that Hitler 'had the right idea'. When I approached, he showed me several conspiracy theory videos on his phone that he said proved his point."
873,Cadet,Weekend Exercise,14-16,Radicalisation / extremism,High,Cadet Williams disclosed that her older brother has been showing her content about how Western society is corrupt and needs to be destroyed. She said he's been talking about joining a cause that would 'purify' society and has asked her to help recruit other young people.
874,CFAV,Parade Night,14-16,Radicalisation / extremism,High,I noticed Cadet Brown had downloaded several documents on his phone with titles about 'race war' and 'white genocide'. He told me he'd been in contact with an adult online who was teaching him about these issues and wanted to meet him in person.
875,Civilian Instructor,Annual Camp,12-14,Radicalisation / extremism,High,Cadet Davies told me during one-to-one time that he believes violence against certain groups is justified because they're 'enemies of the state'. He mentioned attending online meetings where plans for 'direct action' are discussed and said he wants to prove his commitment to the cause.
876,Civilian Instructor,Weekend Exercise,16-18,Radicalisation / extremism,Critical,Cadet Smith showed me videos on his phone during the break which contained graphic violent content and symbols I recognised as being linked to far-right extremist groups. He said his older brother had been sharing these with him and that he thought the people in the videos were 'heroes doing what needed to be done'.
877,CFAV,Online/Remote,14-16,Radicalisation / extremism,Critical,"During a conversation about current events, Cadet Jones expressed detailed knowledge of terrorist attack methods and said she had been researching how to make explosive devices online. She stated that certain groups 'deserved what was coming to them' and that violence was sometimes necessary to achieve political goals."
878,CFAV,Online/Remote,16-18,Radicalisation / extremism,Critical,"Cadet Williams disclosed that he has been attending meetings with a group that his uncle introduced him to, where they discuss plans to 'take action against the system'. He showed me messages on his phone from this group containing detailed discussions about targeting specific locations and individuals they view as enemies."
879,Parent/Carer,Weekend Exercise,16-18,Radicalisation / extremism,Critical,"Cadet Brown told me she has been in regular contact with someone online who has been encouraging her to carry out an attack at our unit. She showed me screenshots of conversations where this person provided specific instructions about weapons and timing, and said she was planning to follow through next week."
880,CFAV,Annual Camp,16-18,Radicalisation / extremism,Critical,Cadet Davies revealed during a one-to-one conversation that he has been recruited by individuals who have convinced him to plan an attack on a local religious building. He described specific reconnaissance activities he had already undertaken and mentioned having access to materials that could be used to cause serious harm.
881,Civilian Instructor,Parade Night,16-18,Radicalisation / extremism,Critical,Cadet Johnson told me during break that he's been meeting with a group of older men who've been teaching him about 'the real truth' about certain religious groups. He said they've given him literature and videos to read at home and that he needs to 'prepare for what's coming'. He showed me several extremist symbols he'd drawn on his notebook.
882,Civilian Instructor,Annual Camp,12-14,Radicalisation / extremism,Critical,"During equipment check, I found that Cadet Williams had downloaded several bomb-making instructional videos on his phone along with manifesto-style documents. When questioned, he became defensive and said he was 'researching for a project' but couldn't explain further details about any legitimate assignment."
883,Parent/Carer,Online/Remote,12-14,Radicalisation / extremism,Critical,Cadet Thompson approached me after parade stating that his older brother has been recruiting him to join a far-right group planning 'direct action' against local mosques. He said meetings happen at their house and showed me photos on his phone of weapons and inflammatory materials being stored there.
884,CFAV,Online/Remote,Under 12,Radicalisation / extremism,Critical,I overheard Cadet Davis telling another cadet about detailed plans to 'make them pay' at the local multicultural festival next month. He described specific methods of causing harm and mentioned having access to materials needed. He appeared excited about these plans rather than distressed.
885,Cadet,Off-site Activity,12-14,Radicalisation / extremism,Critical,Cadet Martinez disclosed that an online contact has been grooming her with extremist ideology over several months. She said this person has convinced her that violence against certain groups is justified and has asked her to provide information about our unit's activities and locations.
886,Cadet,Weekend Exercise,16-18,Radicalisation / extremism,Critical,Cadet Smith approached me after parade and said he had been in contact with someone online who was recruiting people for 'the cause' and wanted to meet him in person next weekend. He showed me messages on his phone where this person was asking for his address and offering to pick him up.
887,Commanding Officer,Online/Remote,14-16,Radicalisation / extremism,Critical,"During a break, I overheard Cadet Jones telling another cadet that his older brother had given him a bag to hide at home and said not to tell anyone, especially police or army people. When I asked about it, Cadet Jones said the bag contained 'materials for when the time comes' and his brother had told him whites and Muslims were enemies."
888,Cadet,Annual Camp,16-18,Radicalisation / extremism,Critical,Cadet Williams disclosed that a man at his mosque had been showing him and other young people videos of fighters overseas and said they should be prepared to act when called upon. The cadet said this man had asked him to bring friends from cadets to special meetings and had given him money to buy specific items.
889,Parent/Carer,Weekend Exercise,14-16,Radicalisation / extremism,Critical,"I noticed Cadet Brown had been researching bomb-making techniques on the computer during our IT session. When I questioned this, he said an online contact had asked him to find out how to make explosives and had promised him money and status if he could prove his commitment to their group."
890,Civilian Instructor,Weekend Exercise,12-14,Radicalisation / extremism,Critical,Cadet Taylor told me that adults from a political group had been meeting with him regularly and had asked him to identify which of his cadet friends might be sympathetic to their views about using violence against certain communities. He said they wanted him to recruit others and had shown him weapons during their last meeting.
891,Commanding Officer,Weekend Exercise,12-14,Radicalisation / extremism,Critical,Cadet Williams approached me after parade saying he'd been recruited by a group online who are planning to 'take action against the government' next month. He showed me encrypted messages on his phone discussing weapons and targeting a local council building. He said they've asked him to provide information about our armoury and key holding procedures.
892,CFAV,Online/Remote,16-18,Radicalisation / extremism,Critical,"During a conversation about current events, Cadet Thompson stated that certain ethnic groups 'deserve what's coming to them' and that he's been attending weekly meetings where they're learning to 'defend their community'. He mentioned having access to his father's shotgun and said his group leader wants him to bring other cadets to their next gathering this weekend."
893,Commanding Officer,Parade Night,12-14,Radicalisation / extremism,Critical,"Cadet Jenkins disclosed that an adult from his mosque has been showing him videos of violence overseas and telling him it's his religious duty to carry out similar acts here. He said this person has given him a list of local targets including the train station and shopping centre, and has promised to provide him with materials needed 'when the time is right'."
894,Parent/Carer,Parade Night,12-14,Radicalisation / extremism,Critical,I overheard Cadet Davis telling another cadet that he's been chosen for a 'special mission' by people he met online who share his political views. He was describing detailed plans to disrupt a local cultural festival next week and mentioned having made homemade explosive devices that he's hidden in his bedroom.
895,Parent/Carer,Online/Remote,Under 12,Radicalisation / extremism,Critical,Cadet Martinez came to me visibly distressed saying older members of a political group he joined have been pressuring him to attack people at his school who they consider 'enemies'. She showed me photographs on her phone of weapons and said the group leader threatened her family if she doesn't follow through with their plan by Friday.
896,Cadet,Online/Remote,16-18,Radicalisation / extremism,Critical,Cadet Thompson approached me after parade and said he's been recruited by a group online who are planning to 'take action against the government next month'. He showed me messages on his phone from someone called 'PatriotLeader88' with detailed instructions about meeting locations and bringing specific items. Thompson said he's excited to finally 'do something real' and asked if I wanted to join.
897,Parent/Carer,Weekend Exercise,16-18,Radicalisation / extremism,Critical,"During a break, I overheard Cadet Williams telling another cadet that his older brother had given him a list of 'targets' in our local area including the town hall and primary school. Williams said they were going to 'send a message this weekend' and that he had been chosen to help because 'no one suspects cadets'. He was showing photographs of buildings on his phone."
898,Cadet,Off-site Activity,Under 12,Radicalisation / extremism,Critical,"Cadet Davies disclosed that an adult from his mosque has been asking him detailed questions about our unit's security procedures, meeting times, and which staff members carry keys. Davies said this person has offered him £200 to bring them photos of our armoury and a copy of our training schedule. Davies admitted he's already taken some photos but hasn't sent them yet."
899,CFAV,Weekend Exercise,14-16,Radicalisation / extremism,Critical,"I discovered Cadet Mitchell had downloaded bomb-making instructions on the unit computer during IT training. When questioned, Mitchell said his 'mentor' had told him to research this for their upcoming 'mission to cleanse our town'. Mitchell stated he understands how to make explosives now and has identified where to source the materials locally."
900,Commanding Officer,Annual Camp,Under 12,Radicalisation / extremism,Critical,Cadet Foster told me she's been in contact with someone online who has convinced her that her Sikh classmates are 'enemies of Britain'. Foster said this person has asked her to gather information about Sikh families in her area and has promised to help her 'deal with them permanently'. She showed me hate-filled messages encouraging violence against specific individuals.
901,Cadet,Annual Camp,16-18,Financial hardship,Low,Cadet mentioned during break that their family can't afford the upcoming camp fees and they're disappointed they might miss out. They seemed a bit down about it but were still participating normally in activities.
902,Parent/Carer,Online/Remote,12-14,Financial hardship,Low,"Noticed that Cadet Smith has been bringing the same packed lunch for several weeks now - just a sandwich and a piece of fruit. When asked casually about it, they said money's a bit tight at home at the moment."
903,CFAV,Annual Camp,14-16,Financial hardship,Low,Cadet told me they've had to drop out of DofE because they can't afford the kit. They mentioned their mum lost some hours at work recently but said it's probably temporary.
904,Civilian Instructor,Annual Camp,Under 12,Financial hardship,Low,"During uniform inspection, observed that Cadet Jones' boots are quite worn and have a hole developing in the sole. They mentioned they're hoping to get new ones soon when dad gets paid."
905,Cadet,Parade Night,12-14,Financial hardship,Low,Cadet approached me quietly to ask if there's any help available with transport costs to events. They said the bus fares are adding up and their parents are finding it difficult to cover them every week.
906,Civilian Instructor,Annual Camp,12-14,Financial hardship,Low,Cadet mentioned during break that they couldn't afford the camp this year and seemed disappointed when others were discussing it. They said their mum is working extra shifts but money is still tight since dad lost his job last month.
907,Civilian Instructor,Annual Camp,12-14,Financial hardship,Low,"Notice that Cadet Smith has been bringing the same packed lunch every day for the past three weeks - just a jam sandwich and an apple. When asked about it casually, they said mum's doing her best but shopping's been difficult lately."
908,Civilian Instructor,Online/Remote,12-14,Financial hardship,Low,Cadet disclosed that they might have to leave cadets because the family can't afford the uniform costs anymore. They mentioned their parents have been arguing about money and bills recently.
909,Parent/Carer,Parade Night,16-18,Financial hardship,Low,Observed that Cadet Jones declined to participate in the fundraising activities and looked uncomfortable when others were buying snacks from the tuck shop. They mentioned they forgot their money but this has happened several times recently.
910,Parent/Carer,Off-site Activity,14-16,Financial hardship,Low,"Cadet said they walked to parade night instead of getting the bus like usual. When chatting, they mentioned their family is trying to save money wherever they can right now because things are 'a bit tough'."
